学号：,63,,班级:,高二1班
星期一,数学,历史,语文,物理,化学,单双周,班会,
星期二,英语,物理,数学,语文,体育,自习,化学,
星期三,英语,语文,语文,数学,化学,物理,历史,
星期四,语文,英语,历史,数学,自习,化学,
星期五,英语,英语,数学,数学,历史,体育,物理,

学号：,64,,班级:,高二4班
星期一,数学,地理,英语,语文,体育,化学,班会,
星期二,英语,英语,数学,数学,化学,生物,
星期三,语文,单双周,英语,数学,生物,自习,地理,
星期四,语文,语文,地理,数学,体育,生物,化学,
星期五,语文,英语,化学,数学,地理,生物,自习,

学号：,65,,班级:,高二2班
星期一,数学,化学,生物,英语,体育,物理,班会,
星期二,数学,数学,语文,语文,自习,生物,
星期三,语文,数学,英语,体育,物理,生物,化学,
星期四,数学,语文,化学,自习,英语,物理,单双周,
星期五,英语,英语,语文,数学,化学,物理,生物,

学号：,66,,班级:,高二2班
星期一,数学,地理,生物,英语,体育,物理,班会,
星期二,数学,数学,语文,语文,自习,生物,
星期三,语文,数学,英语,体育,物理,生物,地理,
星期四,数学,语文,地理,自习,英语,物理,单双周,
星期五,英语,英语,语文,数学,地理,物理,生物,

学号：,67,,班级:,高二6班
星期一,英语,化学,数学,数学,生物,自习,班会,
星期二,语文,语文,政治,数学,体育,生物,
星期三,数学,语文,单双周,英语,政治,生物,化学,
星期四,语文,数学,化学,英语,自习,政治,生物,
星期五,英语,英语,数学,语文,化学,政治,体育,

学号：,68,,班级:,高二2班
星期一,数学,政治,生物,英语,体育,物理,班会,
星期二,数学,数学,语文,语文,自习,生物,
星期三,语文,数学,英语,体育,物理,生物,政治,
星期四,数学,语文,政治,自习,英语,物理,单双周,
星期五,英语,英语,语文,数学,政治,物理,生物,

学号：,69,,班级:,高二7班
星期一,英语,政治,数学,历史,语文,化学,班会,
星期二,语文,历史,英语,数学,化学,自习,体育,
星期三,英语,化学,数学,数学,单双周,历史,政治,
星期四,语文,语文,政治,数学,化学,体育,
星期五,英语,英语,数学,语文,政治,自习,历史,

学号：,70,,班级:,高二9班
星期一,语文,政治,数学,物理,英语,化学,班会,
星期二,语文,物理,数学,数学,单双周,化学,自习,
星期三,数学,英语,语文,语文,体育,物理,政治,
星期四,语文,数学,政治,英语,化学,自习,
星期五,英语,英语,数学,化学,政治,体育,物理,

学号：,71,,班级:,高二2班
星期一,数学,地理,生物,英语,体育,物理,班会,
星期二,数学,数学,语文,语文,自习,生物,
星期三,语文,数学,英语,体育,物理,生物,地理,
星期四,数学,语文,地理,自习,英语,物理,单双周,
